epoch,reward,policy_loss,value_loss,entropy_loss,total_loss,computation_cost,transmission_cost,delay_penalty,training_time,agent_type,params,inference_time,estimated_cost,steps_per_episode,n_agents,agent_0_policy_loss,agent_0_value_loss,agent_0_entropy_loss
13,-1.7281573398514254,-0.0014271747786551714,7035.11279296875,0.6910470128059387,7034.420318781165,0.0,0.0,0.0,7.414069175720215,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0014271747786551714,7035.11279296875,0.6910470128059387
14,-1.0513036401550155,-0.0016398002626374364,7940.7275390625,0.690751314163208,7940.035147948074,0.0,0.0,0.0,12.164522409439087,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0016398002626374364,7940.7275390625,0.690751314163208
15,-10.901087420393104,-0.0014877142384648323,7491.64111328125,0.6904106736183167,7490.949214893393,0.0,0.0,0.0,14.369109392166138,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0014877142384648323,7491.64111328125,0.6904106736183167
16,-1.6817326098410417,-0.0013053565053269267,6657.21533203125,0.6900449395179749,6656.523981735227,0.0,0.0,0.0,14.27457046508789,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0013053565053269267,6657.21533203125,0.6900449395179749
17,-1.0709533580757116,-0.0015795201761648059,7322.859375,0.6897111535072327,7322.168084326317,0.0,0.0,0.0,13.366966009140015,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0015795201761648059,7322.859375,0.6897111535072327
18,-1.7322970676325993,-0.0014913370832800865,7209.1201171875,0.6893359422683716,7208.429289908148,0.0,0.0,0.0,15.831809759140015,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0014913370832800865,7209.1201171875,0.6893359422683716
19,-1.0239143691626196,-0.0010779299773275852,6487.36669921875,0.6888558268547058,6486.676765461918,0.0,0.0,0.0,8.090473175048828,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0010779299773275852,6487.36669921875,0.6888558268547058
20,-10.417673543110055,-0.00045282460632734,6889.81201171875,0.6884269118309021,6889.123131982313,0.0,0.0,0.0,7.308735132217407,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.00045282460632734,6889.81201171875,0.6884269118309021
21,-1.6840842329251509,-0.0003548629174474627,6340.06494140625,0.6878991723060608,6339.3766873710265,0.0,0.0,0.0,7.621881723403931,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0003548629174474627,6340.06494140625,0.6878991723060608
22,-9.686822052159295,-0.00034220004454255104,6096.70556640625,0.6873344779014587,6096.017889728304,0.0,0.0,0.0,6.6578192710876465,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.00034220004454255104,6096.70556640625,0.6873344779014587
23,-0.7356156074756128,0.0005492546479217708,6954.9052734375,0.6866325736045837,6954.219190118543,0.0,0.0,0.0,6.853972434997559,MAPPO,0,0,2.0833500000000003e-05,1000,1,0.0005492546479217708,6954.9052734375,0.6866325736045837
24,-8.971563010491051,0.0008439016528427601,7451.26123046875,0.6859840154647827,7450.576090354938,0.0,0.0,0.0,7.493261337280273,MAPPO,0,0,2.0833500000000003e-05,1000,1,0.0008439016528427601,7451.26123046875,0.6859840154647827
25,-1.0659329484328781,0.0014152595540508628,5820.82177734375,0.6852372288703918,5820.137955374434,0.0,0.0,0.0,11.65991735458374,MAPPO,0,0,2.0833500000000003e-05,1000,1,0.0014152595540508628,5820.82177734375,0.6852372288703918
26,-1.0374632174644256,0.0011753530707210302,5689.423828125,0.684246301651001,5688.74075717642,0.0,0.0,0.0,14.975914478302002,MAPPO,0,0,2.0833500000000003e-05,1000,1,0.0011753530707210302,5689.423828125,0.684246301651001
27,-9.151403714729703,0.0022744350135326385,6238.62841796875,0.6833932995796204,6237.947299104184,0.0,0.0,0.0,12.920071363449097,MAPPO,0,0,2.0833500000000003e-05,1000,1,0.0022744350135326385,6238.62841796875,0.6833932995796204
28,-11.648548561092248,0.003496643155813217,5797.7509765625,0.6821994781494141,5797.072273727506,0.0,0.0,0.0,12.388511419296265,MAPPO,0,0,2.0833500000000003e-05,1000,1,0.003496643155813217,5797.7509765625,0.6821994781494141
29,-11.972688161450995,0.003226559143513441,5929.6328125,0.6810903549194336,5928.954948704224,0.0,0.0,0.0,13.397577285766602,MAPPO,0,0,2.0833500000000003e-05,1000,1,0.003226559143513441,5929.6328125,0.6810903549194336
30,-1.3631329283985674,0.0041571687906980515,6079.22119140625,0.6797236204147339,6078.545624954626,0.0,0.0,0.0,14.408109903335571,MAPPO,0,0,2.0833500000000003e-05,1000,1,0.0041571687906980515,6079.22119140625,0.6797236204147339
