epoch,reward,policy_loss,value_loss,entropy_loss,total_loss,computation_cost,transmission_cost,delay_penalty,training_time,agent_type,params,inference_time,estimated_cost,steps_per_episode,n_agents,agent_0_policy_loss,agent_0_value_loss,agent_0_entropy_loss
0,-1.040406074707949,-0.004121936857700348,8241.224609375,0.6929535865783691,8240.527533851564,0.0,0.0,0.0,3.140855073928833,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.004121936857700348,8241.224609375,0.6929535865783691
1,-8.683076030701482,-0.003459385596215725,8362.6787109375,0.6930036544799805,8361.982247897424,0.0,0.0,0.0,3.0547502040863037,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.003459385596215725,8362.6787109375,0.6930036544799805
2,-10.28240373369621,-0.0035908997524529696,7840.06689453125,0.6930453777313232,7839.370258253766,0.0,0.0,0.0,2.867849588394165,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0035908997524529696,7840.06689453125,0.6930453777313232
3,-12.325466089055615,-0.0034003390464931726,8535.685546875,0.693077802658081,8534.989068733295,0.0,0.0,0.0,2.9078516960144043,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0034003390464931726,8535.685546875,0.693077802658081
4,-0.7073847591253368,-0.0027711130678653717,8460.6591796875,0.6930986642837524,8459.963309910148,0.0,0.0,0.0,2.9049394130706787,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0027711130678653717,8460.6591796875,0.6930986642837524
5,-1.0638634979256085,-0.0028633347246795893,8099.9609375,0.6931132078170776,8099.264960957458,0.0,0.0,0.0,2.8460984230041504,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0028633347246795893,8099.9609375,0.6931132078170776
6,-9.233031609126806,-0.002738309558480978,7831.4248046875,0.6931244134902954,7830.728941964451,0.0,0.0,0.0,2.88850998878479,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.002738309558480978,7831.4248046875,0.6931244134902954
7,-0.741514892367094,-0.002441332908347249,9438.7890625,0.6931285858154297,9438.093492581276,0.0,0.0,0.0,2.999502658843994,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.002441332908347249,9438.7890625,0.6931285858154297
8,-9.815081151493349,-0.0025673541240394115,8483.46484375,0.6931312084197998,8482.769145187456,0.0,0.0,0.0,2.9031457901000977,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0025673541240394115,8483.46484375,0.6931312084197998
9,-0.44410790789189714,-0.0026077348738908768,7816.138671875,0.6931275725364685,7815.44293656759,0.0,0.0,0.0,2.8929078578948975,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0026077348738908768,7816.138671875,0.6931275725364685
10,-1.6994821281948809,-0.002106913598254323,7013.423828125,0.693119466304779,7012.728601745097,0.0,0.0,0.0,2.9743027687072754,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.002106913598254323,7013.423828125,0.693119466304779
11,-0.10679433045249866,-0.0022364717442542315,9637.845703125,0.6931045651435852,9637.150362088112,0.0,0.0,0.0,2.896050214767456,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0022364717442542315,9637.845703125,0.6931045651435852
