epoch,reward,policy_loss,value_loss,entropy_loss,total_loss,computation_cost,transmission_cost,delay_penalty,training_time,agent_type,params,inference_time,estimated_cost,steps_per_episode,n_agents,agent_0_policy_loss,agent_0_value_loss,agent_0_entropy_loss,agent_1_policy_loss,agent_1_value_loss,agent_1_entropy_loss,agent_2_policy_loss,agent_2_value_loss,agent_2_entropy_loss
0,-7.927736642877021,-0.0043784279938942445,8328.423014322916,0.6929251154263815,8327.725710779496,0.0,0.0,0.0,8.891771078109741,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.0004787452344316989,7482.162109375,0.6930285692214966,-0.00649963179603219,8168.29150390625,0.6927062273025513,-0.0061569069512188435,9334.8154296875,0.6930405497550964
1,-5.419979770474741,-0.004348037483093019,8357.51904296875,0.6929662624994913,8356.821728668769,0.0,0.0,0.0,9.047272443771362,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.00017216158448718488,8507.169921875,0.6930474638938904,-0.007510855793952942,8680.7978515625,0.6927737593650818,-0.005361095070838928,7884.58935546875,0.693077564239502
2,-6.082910049551142,-0.004004303230127941,7768.0205078125,0.6929851373036703,7767.323518371966,0.0,0.0,0.0,8.48924469947815,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.0009713401668705046,6928.2890625,0.6930535435676575,-0.006476106587797403,8610.806640625,0.6928122639656067,-0.004565462935715914,7764.9658203125,0.6930896043777466
3,-8.117954758897655,-0.0029347423260333017,8026.595865885417,0.6930046478907267,8025.8999264952,0.0,0.0,0.0,8.207874059677124,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.00018476486729923636,7587.97900390625,0.6930575966835022,-0.005201517138630152,7701.310546875,0.6928650140762329,-0.0037874747067689896,8790.498046875,0.6930913329124451
4,-6.619041145234233,-0.003760596523837497,7731.645182291667,0.6930144230524699,7730.948407272091,0.0,0.0,0.0,17.16530752182007,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.0007029788685031235,7957.4111328125,0.693058431148529,-0.005953263025730848,7540.3544921875,0.6929043531417847,-0.004625547677278519,7697.169921875,0.693080484867096
5,-6.812960210624713,-0.003668556339107454,8472.43212890625,0.6930192708969116,8471.735441079014,0.0,0.0,0.0,8.021321058273315,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.0014399959472939372,8545.18359375,0.6930519938468933,-0.006910448893904686,8103.22607421875,0.6929495930671692,-0.0026552241761237383,8768.88671875,0.6930562257766724
6,-8.252867040118206,-0.0033507805007199445,8290.876953125,0.6930205821990967,8290.1805817623,0.0,0.0,0.0,8.492751359939575,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.0014145257882773876,7583.1513671875,0.6930553913116455,-0.005752238444983959,8837.7607421875,0.6929921507835388,-0.002885577268898487,8451.71875,0.6930142045021057
7,-5.715076536551503,-0.002861965913325548,8048.316243489583,0.6930235425631205,8047.620357981106,0.0,0.0,0.0,8.371976137161255,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.002033970085904002,7754.14501953125,0.693065881729126,-0.004431082401424646,8414.916015625,0.6930336952209473,-0.002120845252647996,7975.8876953125,0.6929710507392883
8,-8.995658835367278,-0.0032737001699085035,7881.931803385417,0.6930076082547506,7881.235522076992,0.0,0.0,0.0,8.801847219467163,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.0019118213094770908,8079.79833984375,0.6930626630783081,-0.006630207411944866,8433.3564453125,0.6930631399154663,-0.001279071788303554,7132.640625,0.6928970217704773
9,-2.753330280268569,-0.0028972656436963007,7994.832356770833,0.6929959654808044,7994.1364635397085,0.0,0.0,0.0,8.946365118026733,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.002368512097746134,8576.5498046875,0.6930626630783081,-0.006198476999998093,8277.9013671875,0.6930927634239197,-0.0001248078333446756,7130.0458984375,0.6928324699401855
10,-3.145020965485522,-0.002772857764891038,7605.61865234375,0.6929648915926615,7604.922914594392,0.0,0.0,0.0,8.277525901794434,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.0029302213806658983,8281.2880859375,0.6930608153343201,-0.005577022675424814,7392.5419921875,0.6931095123291016,0.00018867076141759753,7143.02587890625,0.692724347114563
11,-9.75105237380634,-0.0025332275545224547,7587.041178385417,0.6929311752319336,7586.3457139826305,0.0,0.0,0.0,8.890538454055786,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.002551271114498377,8102.93115234375,0.693054735660553,-0.005699916277080774,7859.54833984375,0.6931240558624268,0.0006515047280117869,6798.64404296875,0.692614734172821
12,-2.7669453945750884,-0.002846273321968814,7685.09375,0.6928989887237549,7684.398004737955,0.0,0.0,0.0,15.729846477508545,MAPPO,0,0,2.0833500000000003e-05,1000,3,-0.00421573081985116,7649.14599609375,0.6930614113807678,-0.005715162493288517,7661.37548828125,0.6931273341178894,0.0013920733472332358,7744.759765625,0.6925082206726074
