epoch,reward,policy_loss,value_loss,entropy_loss,total_loss,computation_cost,transmission_cost,delay_penalty,training_time,agent_type,params,inference_time,estimated_cost,steps_per_episode,n_agents,agent_0_policy_loss,agent_0_value_loss,agent_0_entropy_loss,agent_1_policy_loss,agent_1_value_loss,agent_1_entropy_loss,agent_2_policy_loss,agent_2_value_loss,agent_2_entropy_loss
0,-9.31394353635671,-0.0008604422522087892,7866.576822916667,0.6927249431610107,7865.883237531254,0.0,0.0,0.0,4.424818992614746,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.005809991154819727,7621.81982421875,0.6925240159034729,0.002246486023068428,7338.98388671875,0.6931142807006836,-0.010637803934514523,8638.9267578125,0.6925365328788757
1,-6.935110017987618,0.0006041314918547869,8256.092122395834,0.6927446524302164,8255.399981874896,0.0,0.0,0.0,4.551549911499023,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.007604822050780058,7044.9541015625,0.6924270391464233,0.0024667673278599977,6983.3310546875,0.6931171417236328,-0.008259194903075695,10739.9912109375,0.6926897764205933
2,-2.0117210496998585,0.0008367419553299745,7246.809733072917,0.6927592754364014,7246.117810539436,0.0,0.0,0.0,4.167617082595825,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.00879612471908331,6521.673828125,0.6923393607139587,0.00403445353731513,6660.38916015625,0.6931095123291016,-0.010320352390408516,8558.3662109375,0.6928289532661438
3,-2.846199819669682,0.002130398526787758,7287.88671875,0.6927444140116373,7287.196104734515,0.0,0.0,0.0,4.2310791015625,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.010217876173555851,6426.169921875,0.6922507286071777,0.004622935317456722,7569.62744140625,0.6930837035179138,-0.0084496159106493,7867.86279296875,0.6928988099098206
4,-3.07861236287194,0.0019150928904612858,8182.88916015625,0.6927385727564493,8182.198336676383,0.0,0.0,0.0,4.1577372550964355,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.008262595161795616,8342.1279296875,0.6921683549880981,0.005878293886780739,7517.16552734375,0.6930452585220337,-0.008395610377192497,8689.3740234375,0.6930021047592163
5,-2.975200002360045,0.0024001398123800755,7420.497395833333,0.6927058696746826,7419.807090103471,0.0,0.0,0.0,4.232533693313599,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.008771771565079689,6487.2626953125,0.692051887512207,0.00552653381600976,6752.220703125,0.6929984092712402,-0.0070978859439492226,9022.0087890625,0.6930673122406006
6,-8.8650402730771,0.0036513726226985455,7366.386067708333,0.692664364973704,7365.697054715982,0.0,0.0,0.0,4.245290517807007,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.010450536385178566,6554.25146484375,0.691978394985199,0.006660862360149622,6157.47021484375,0.6929186582565308,-0.006157280877232552,9387.4365234375,0.6930960416793823
7,-6.18329565500593,0.003419080593933662,7396.426106770833,0.6926071246465048,7395.7369187267805,0.0,0.0,0.0,4.297894239425659,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.009140461683273315,6283.60009765625,0.6918790936470032,0.007279457524418831,7320.83056640625,0.6928436756134033,-0.006162677425891161,8584.84765625,0.6930986046791077
8,-3.332059781824435,0.0036135075303415456,7456.004720052083,0.6925378243128458,7455.3157957353005,0.0,0.0,0.0,4.216096878051758,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.010180273093283176,7727.89697265625,0.6917934417724609,0.006380531005561352,6303.654296875,0.6927470564842224,-0.005720281507819891,8336.462890625,0.6930729746818542
9,-2.8317440153425317,0.005379937744388978,7640.562337239583,0.6924446225166321,7639.875272554811,0.0,0.0,0.0,4.218048334121704,MAPPO,0,0,2.0833500000000003e-05,1000,3,0.011197336949408054,6853.39013671875,0.6917118430137634,0.008854911662638187,7459.2236328125,0.6926106214523315,-0.003912435378879309,8609.0732421875,0.6930114030838013
